car_name,car_price_in_rupees,kms_driven,fuel_type,city,year_of_manufacture,price_numeric,kms_numeric
Maruti Suzuki Wagon R 1.0 LXI CNG,₹ 4.51 Lakh,"45,116 km",CNG,Pune,2017,451000,45116
Mercedes-Benz CLA 200 Petrol Sport,₹ 25.9 Lakh,"37,000 km",Petrol,Ahmedabad,2018,2590000,37000
MG Hector Sharp 1.5 Petrol CVT,₹ 18.75 Lakh,"14,000 km",Petrol,Mumbai,2021,1875000,14000
Honda City V CVT Petrol [2017-2019],₹ 7.3 Lakh,"59,053 km",Petrol,Ahmedabad,2017,730000,59053
Audi A4 2.0 TDI (143 bhp),₹ 15 Lakh,"73,562 km",Diesel,Hyderabad,2012,1500000,73562
Mercedes-Benz GLE 350 d,₹ 38.5 Lakh,"75,176 km",Diesel,Hyderabad,2015,3850000,75176
Toyota Corolla Altis VL AT Petrol,₹ 13.94 Lakh,"34,316 km",Petrol,Kolkata,2018,1394000,34316
Hyundai Elite i20 Asta 1.2,₹ 7.79 Lakh,"42,825 km",Petrol,Bangalore,2018,779000,42825
Toyota Innova Crysta ZX 2.4 AT 7 STR,₹ 29.75 Lakh,"23,439 km",Diesel,Thane,2021,2975000,23439
Jeep Grand Cherokee SRT [2016-2020],₹ 53 Lakh,"47,300 km",Petrol,Kolkata,2017,5300000,47300
MG ZS EV Exclusive [2020-2021],₹ 19.19 Lakh,"57,946 km",Electric,Bangalore,2020,1919000,57946
Mahindra Marazzo M6 Plus 8 STR,₹ 14.85 Lakh,"36,700 km",Diesel,Chennai,2021,1485000,36700
Land Rover Range Rover Sport SE 3.0 Diesel [2018-2020],₹ 1.36 Crore,"36,000 km",Diesel,Bangalore,2019,1,36000
Maruti Suzuki Wagon R 1.0 VXI,₹ 4.11 Lakh,"19,021 km",Petrol,Kolkata,2018,411000,19021
Toyota Etios Liva GD,₹ 5.4 Lakh,"65,243 km",Diesel,Bangalore,2013,540000,65243
Kia Seltos GTX Plus AT 1.5 Diesel [2019-2020],₹ 18.5 Lakh,"68,700 km",Diesel,Hyderabad,2020,1850000,68700
MG Hector Sharp 2.0 Diesel [2019-2020],₹ 16.99 Lakh,"28,679 km",Diesel,Bangalore,2019,1699000,28679
Tata Nexon XM,₹ 9.29 Lakh,"27,499 km",Petrol,Chennai,2020,929000,27499
Maruti Suzuki Vitara Brezza VDi,₹ 7 Lakh,"86,908 km",Diesel,Thane,2016,700000,86908
Volkswagen Passat 1.8L TSI,₹ 3.35 Lakh,"55,460 km",Petrol,Kolkata,2010,335000,55460
Ford EcoSport Titanium 1.5L Ti-VCT AT,₹ 6.79 Lakh,"54,310 km",Petrol,Mumbai,2017,679000,54310
Honda City ZX CVT Petrol [2017-2019],₹ 10.09 Lakh,"58,165 km",Petrol,Pune,2017,1009000,58165
Mercedes-Benz GLE 300d 4MATIC LWB,₹ 86 Lakh,"34,000 km",Diesel,Pune,2020,8600000,34000
Kia Sonet GTX Plus 1.0 iMT [2020-2021],₹ 12.5 Lakh,"12,800 km",Petrol,Ahmedabad,2022,1250000,12800
Hyundai Accent Executive,₹ 2.7 Lakh,"57,704 km",Petrol,Hyderabad,2011,270000,57704
Honda City ZX CVT Petrol,₹ 16.06 Lakh,"6,116 km",Petrol,Pune,2022,1606000,6116
Honda Brio S MT,₹ 2.95 Lakh,"81,000 km",Petrol,Noida,2013,295000,81000
MG Astor Sharp 1.5 MT,₹ 15.49 Lakh,"2,200 km",Petrol,Bangalore,2022,1549000,2200
Mahindra Marazzo M2 8 STR,₹ 11.36 Lakh,"9,238 km",Diesel,Kolkata,2021,1136000,9238
Hyundai Verna Fluidic 1.6 VTVT SX,₹ 3.91 Lakh,"84,344 km",Petrol,Delhi,2013,391000,84344
Tata Harrier XZ [2019-2020],₹ 16.95 Lakh,"47,082 km",Diesel,Bangalore,2019,1695000,47082
Hyundai i20 Asta 1.2,₹ 4.3 Lakh,"41,429 km",Petrol,Pune,2012,430000,41429
Hyundai Xcent SX 1.1 CRDi (O),₹ 5 Lakh,"73,000 km",Diesel + 1,Thiruvallur,2015,500000,73000
Maruti Suzuki Swift VDi,₹ 6.1 Lakh,"62,000 km",Diesel,Thane,2017,610000,62000
Ford EcoSport Trend 1.5 TDCi,₹ 4.51 Lakh,"74,529 km",Diesel,Kolkata,2014,451000,74529
Skoda Rapid TSI Style AT,₹ 11.25 Lakh,"46,807 km",Petrol,Bangalore,2020,1125000,46807
Hyundai Grand i10 Sportz (O) AT 1.2 Kappa VTVT [2017-2018],₹ 5.7 Lakh,"25,971 km",Petrol,Thane,2017,570000,25971
Maruti Suzuki Dzire VXi,₹ 6.11 Lakh,"43,100 km",Petrol,Ahmedabad,2018,611000,43100
MG Gloster Savvy 6 STR 2.0 Twin Turbo 4WD,₹ 42.85 Lakh,"20,264 km",Diesel,Thane,2021,4285000,20264
Maruti Suzuki Ciaz ZXi  AT,₹ 6.5 Lakh,"75,000 km",Petrol,Thane,2016,650000,75000
Honda City V,₹ 8.15 Lakh,"20,580 km",Petrol,Kolkata,2019,815000,20580
Hyundai Creta 1.6 S Petrol,₹ 11.67 Lakh,"28,596 km",Petrol,Delhi,2019,1167000,28596
Honda Amaze 1.2 SX i-VTEC,₹ 5.09 Lakh,"48,333 km",Petrol,Bangalore,2014,509000,48333
Mahindra XUV500 W6 AT,₹ 9.5 Lakh,"74,000 km",Diesel,Ahmedabad,2017,950000,74000
Toyota Corolla H2 1.8E,₹ 2 Lakh,"1,40,000 km",Petrol,Pallikarnai,2005,200000,140000
